catalog_number	plate_location	rack_number	apex_cas_number	apex_item_name	apex_molecular_weight	apex_molecular_formula	apex_smiles	apex_valid_smiles	failed_cas_number	failed_item_name	failed_smiles	super_parent_smiles	super_parent_exact_mass	super_parent_molecular_weight	super_parent_molecular_formula	pubchem_cid
A1042	A01	1	4474-91-3	Angiotensin II	1046.2	C50H71N13O12	CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N.CC(=O)O	True	False	False	False	CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O	1045.534514712	1046.1969999999997	C50H71N13O12	172198
A1745	A02	1	1953-04-4	Galanthamine HBr	368.27	C17H21NO3.HBr	COC1=CC=C2C3=C1O[C@]4([H])[C@]3(C=C[C@H](O)C4)CCN(C)C2.Br	True	False	False	False	COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2	287.152143532	287.35900000000004	C17H21NO3	121587
A1765	A03	1	2068-78-2	Vincristine sulfate	923.04	C46H58N4O14S	O[C@]1(CC)CN(CC2)C[C@@](C1)([H])C[C@](C(OC)=O)(C3=C(OC)C=C(N(C=O)[C@]4([H])[C@@]56C7[C@](C=CCN7CC6)(CC)C(OC(C)=O)[C@@]4(C(OC)=O)O)C5=C3)C8=C2C9=CC=CC=C9N8.OS(O)(=O)=O	True	False	False	False	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1	824.399643992	824.9720000000002	C46H56N4O10	249332
A1796	A04	1	21535-47-7	Mianserin HCl	300.83	C18H20N2.HCl	CN1CC2C3=C(C=CC=C3)CC4=C(C=CC=C4)N2CC1.Cl	True	False	False	False	CN1CCN2c3ccccc3Cc3ccccc3C2C1	264.16264864	264.372	C18H20N2	68551
A1832	A05	1	25316-40-9	Doxorubicin (Adriamycin) HCl	579.98	C27H29NO11.HCl	COC1=C2C(C(C3=C(C2=O)C(O)=C4C(C[C@](O)(C[C@@H]4O[C@@]5([H])C[C@@H]([C@@H]([C@@H](O5)C)O)N)C(CO)=O)=C3O)=O)=CC=C1.Cl	True	False	False	False	COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)C(OC1CC(N)C(O)C(C)O1)=CC(O)(C(=O)CO)C4	543.1740607479999	543.5250000000003	C27H29NO11	443939
A1932	A06	1	102518-79-6	(-)-Huperzine A	242.3	C15H18N2O	C/C=C1[C@@]2(N)C3=C(NC(C=C3)=O)C[C@]/1([H])C=C(C)C2	True	False	False	False	CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2	242.141913196	242.32199999999997	C15H18N2O	854026
A2198	A07	1	446-72-0	Genistein	270.24	C15H10O5	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O	True	False	False	False	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	270.05282342	270.23999999999995	C15H10O5	5280961
A2306	A08	1	476-66-4	Ellagic acid	302.19	C14H6O8	OC1=C(O)C2=C3C(C(OC4=C3C(C(O2)=O)=CC(O)=C4O)=O)=C1	True	False	False	False	O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43	302.00626715199996	302.194	C14H6O8	5281855
A2431	A09	1	56180-94-0	Acarbose	645.6	C25H43NO18	CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO	True	False	False	False	CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O	645.2480135359999	645.6080000000004	C25H43NO18	4432690
A2486	A10	1	59937-28-9	Malotilate	288.38	C12H16O4S2	CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C	True	False	False	False	CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1	288.049000992	288.39000000000004	C12H16O4S2	4006
