catalog_number	plate_location	rack_number	apex_cas_number	apex_item_name	apex_molecular_weight	apex_molecular_formula	apex_smiles	apex_valid_smiles	failed_cas_number	failed_item_name	failed_smiles	super_parent_smiles	super_parent_exact_mass	super_parent_molecular_weight	super_parent_molecular_formula	pubchem_cid
B1689	A08	2	1405-37-4	Capreomycin Sulfate	750.78	C25H44N14O7.H2SO4	O=C([C@]([H])(C)NC([C@](N)([H])CNC1=O)=O)N[C@@]([H])(CNC(CC(CCCN)N)=O)C(NC(C(N[C@@]1([H])[C@@H]2CCNC(N)=N2)=O)=CNC(N)=O)=O.[xH2SO4]	False	False	False	False	NCCCC(N)C(=O)NCC1NC(=O)C(CO)NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)=NC(=O)C(CNC(N)=O)NC1=O	654.331004304	654.6899999999997	C24H42N14O8	22836615
B1716	A09	2	1264-72-8	Colistin Sulfate	1253.51	H2O4S.xUnspecified		False	True	True	True					
B5054	A04	3	124-87-8	Picrotoxin	602.59	C30H34O13		False	False	False	False	CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C	310.105252916	310.302	C15H18O7	31304
B6001	A10	3	90-33-5	4-Methylumbelliferone (4-MU)	176.17	C10H8O3		False	False	False	False	Cc1cc(=O)oc2cc(O)ccc12	176.047344116	176.171	C10H8O3	5280567
N1375	F07	3	20311-51-7	Solamargine	867.5	C45H73NO15		False	False	False	False	CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C	867.4980206360002	868.0710000000006	C45H73NO15	73611
N1556	A06	4	14144-06-0	Diosgenin glucoside	576.76	C33H52O8		False	False	False	False	CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C	576.3662186239998	576.7710000000001	C33H52O8	11827970
N1601	B04	4	102040-03-9	Tubeimoside I	1319.43	C63H98O29	C[C@@]1([H])[C@@](O)([H])[C@](O[C@@]2([H])[C@@](O)([H])[C@](O)([H])[C@@](O)([H])CO2)([H])[C@](O)([H])[C@@](O[C@]3([H])[C@](O)([H])[C@](O)([H])CO[C@@]3([H])OC([C@]4(CC[C@]56C)CCC(C)(C[C@@]4([H])C5=CC[C@]7([H])[C@@](C[C@@](O)([H])[C@@](O8)([H])[C@]9(COC(C[C	False	True	False	False	CC1OC(OC2C(OC(=O)C34C=CC5(C)C(=CCC6C7(C)CC(O)C(OC8OC(CO)C(O)C(O)C8OC8OCC(OC(=O)CC(C)(O)CC(=O)O)C(O)C8O)C(C)(C)C7CCC65C)C3CC(C)(C)CC4)OCC(O)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O	1318.619377116	1319.4480000000005	C63H98O29	3034097
N1652	C09	4	55750-84-0	Crocin II	814.82	C38H54O19	CC(/C([H])=C([H])/C([H])=C(C(O[C@@]1([H])[C@@](O)([H])[C@](O)([H])[C@@](O)([H])[C@@](O1)([H])CO)=O)\C)=C([H])\C([H])=C([H])\C([H])=C(\C([H])=C([H])\C([H])=C(C(O[C@@]2([H])[C@@](O)([H])[C@](O)([H])[C@@](O)([H])[C@@](O2)([H])CO[C@@]3([H])[C@@](O)([H])[C@](O	False	False	False	False	CC(C=CC=C(C)C(=O)OC1OC(CO)C(O)C(O)C1O)=CC=CC=C(C)C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	814.325929508	814.8310000000005	C38H54O19	9940690
N1664	D02	4	1063-77-0	Nomilin	514.57	C28H34O9		False	False	False	False	CC(=O)OC1CC(=O)OC(C)(C)C2CC(=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(=O)C5OC543)C12C	514.220282668	514.5710000000004	C28H34O9	72320
N1698	E02	4	55056-80-9	Protodioscin	1049.21	C51H84O22		False	False	False	False	CC(CCC1(O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O	1048.5454243280003	1049.2110000000005	C51H84O22	441891
N1708	E09	4	57817-89-7	Stevioside	804.88	C38H60O18		False	False	False	False	C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3	804.3779650800001	804.8800000000006	C38H60O18	442089
N1715	F04	4	512-04-9	Diosgenin	414.61	C27H42O3		False	False	False	False	CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C	414.31339520399996	414.6300000000002	C27H42O3	99474
N1723	F08	4	19057-60-4	Dioscin	869.05	C45H72O16		False	False	False	False	CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C	868.4820362240002	869.0550000000006	C45H72O16	119245
N1729	F11	4	20977-05-3	Sodium Aescinate	1153.2	C55H85NaO24		False	False	False	False	CC(=O)OC(C)C(C)C(=O)OCC12C3CC4(C)C(=CCC5C6(C)CCC(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC7OCC(O)C(O)C7O)C(C)(CO)C6CCC54C)C1CC(C)(C)C(O3)C2O	1100.5403389480005	1101.2430000000002	C54H84O23	3084345
N1798	H10	4	518-34-3	Tetrandrine	622.75	C38H42N2O6		False	False	False	False	COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3	622.304287064	622.7620000000003	C38H42N2O6	73078
