catalog_number	plate_location	rack_number	apex_cas_number	apex_item_name	apex_molecular_weight	apex_molecular_formula	apex_smiles	apex_valid_smiles	failed_cas_number	failed_item_name	failed_smiles	super_parent_smiles	super_parent_exact_mass	super_parent_molecular_weight	super_parent_molecular_formula	pubchem_cid
A1042	A01	1	4474-91-3	Angiotensin II	1046.2	C50H71N13O12	CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N.CC(=O)O	True	False	False	False	CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O	1045.534514712	1046.1969999999997	C50H71N13O12	172198
A1745	A02	1	1953-04-4	Galanthamine HBr	368.27	C17H21NO3.HBr	COC1=CC=C2C3=C1O[C@]4([H])[C@]3(C=C[C@H](O)C4)CCN(C)C2.Br	True	False	False	False	COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2	287.152143532	287.35900000000004	C17H21NO3	121587
A1765	A03	1	2068-78-2	Vincristine	923.04	C46H58N4O14S	O[C@]1(CC)CN(CC2)C[C@@](C1)([H])C[C@](C(OC)=O)(C3=C(OC)C=C(N(C=O)[C@]4([H])[C@@]56C7[C@](C=CCN7CC6)(CC)C(OC(C)=O)[C@@]4(C(OC)=O)O)C5=C3)C8=C2C9=CC=CC=C9N8.OS(O)(=O)=O	True	False	False	False	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1	824.399643992	824.9720000000002	C46H56N4O10	249332
A1796	A04	1	21535-47-7	Mianserin HCl	300.83	C18H20N2.HCl	CN1CC2C3=C(C=CC=C3)CC4=C(C=CC=C4)N2CC1.Cl	True	False	False	False	CN1CCN2c3ccccc3Cc3ccccc3C2C1	264.16264864	264.372	C18H20N2	68551
A1832	A05	1	25316-40-9	Doxorubicin (Adriamycin) HCl	579.98	C27H29NO11.HCl	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl	True	False	False	False	COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=C(OC1CC(N)C(O)C(C)O1)CC(O)(C(=O)CO)C=4	543.1740607479999	543.5250000000002	C27H29NO11	
A2516	B02	1	25389-94-0	Kanamycin Sulfate	582.58	C18H36N4O11.H2SO4	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N.OS(=O)(=O)O	True	False	False	False	NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O	484.2380579719999	484.50300000000016	C18H36N4O11	441374
A2517	B03	1	64-75-5	Tetracycline Hydrochloride	480.9	C22H25ClN2O8	CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl	True	False	False	False	CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12	444.1532657279999	444.44000000000017	C22H24N2O8	54704426
A2552	B04	1	6151-25-3	Quercetin dihydrate	338.27	C15H10O7.2H2O	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O	True	False	False	False	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	302.04265265999993	302.238	C15H10O7	5284452
A3920	D06	1	143-67-9	Vinblastine sulfate	909.05	C46H60N4O13S	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	True	False	False	False	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1	810.4203794360004	810.9890000000001	C46H58N4O9	5388983
A4052	D07	1	24390-14-5	Doxycycline hyclate	480.9	C22H24N2O8.HC	O=C(C1=C(O)[C@]2(O)[C@]([C@@H](O)[C@@]3([H])C(C2=O)=C(O)C4=C(O)C=CC=C4[C@@H]3C)([H])[C@H](N(C)C)C1=O)N.Cl	True	False	False	False	CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21	444.153265728	444.44000000000017	C22H24N2O8	
